aluno.escola.nome;aluno.numero_identificacao;aluno.periodo;aluno.turma;aluno.nascimento;aluno.sexo;aluno.raca
Escola municipal Mestre Pacífico S. Campos;5247;1;92.03;2004-01-12;0;1
Escola municipal Mestre Pacífico S. Campos;5460;1;92.03;2004-04-24;1;3
Escola municipal Mestre Pacífico S. Campos;5100;0;92.03;2003-11-05;1;1
Escola municipal Mestre Pacífico S. Campos;5246;1;92.03;2003-07-29;0;4
Escola municipal Mestre Pacífico S. Campos;5241;1;92.03;2002-10-08;0;3
Escola municipal Mestre Pacífico S. Campos;5341;1;92.03;2004-02-21;1;3
Escola municipal Mestre Pacífico S. Campos;5482;1;92.03;2002-12-15;1;3
Escola municipal Mestre Pacífico S. Campos;5405;1;92.03;2004-04-21;;3
Escola municipal Mestre Pacífico S. Campos;5465;1;92.03;2003-12-20;1;3
Escola municipal Mestre Pacífico S. Campos;5087;1;92.03;2018-03-20;1;3
Escola municipal Mestre Pacífico S. Campos;5403;1;92.03;2004-02-19;1;3
Escola municipal Mestre Pacífico S. Campos;5008;1;92.03;2003-12-15;1;3
Escola municipal Mestre Pacífico S. Campos;5497;1;92.03;2003-10-11;1;0
Escola municipal Mestre Pacífico S. Campos;5051;1;92.03;2002-02-15;1;3
Escola municipal Mestre Pacífico S. Campos;5441;1;92.03;2002-11-24;0;3
Escola municipal Mestre Pacífico S. Campos;5122;1;92.03;2000-09-30;1;1
Escola municipal Mestre Pacífico S. Campos;5254;1;92.03;2004-03-15;1;4
Escola municipal Mestre Pacífico S. Campos;5080;1;92.03;2003-03-07;1;3
Escola municipal Mestre Pacífico S. Campos;5274;1;92.03;2003-10-07;1;3
Escola municipal Mestre Pacífico S. Campos;5132;1;92.03;2003-10-10;1;4
Escola municipal Mestre Pacífico S. Campos;5140;1;92.03;2000-06-22;0;4
Escola municipal Mestre Pacífico S. Campos;5409A;1;92.03;2003-08-13;1;3
Escola municipal Mestre Pacífico S. Campos;5373;1;92.03;2003-05-11;1;3
Escola municipal Mestre Pacífico S. Campos;5002-B;1;92.03;2018-03-17;0;0
Escola municipal Mestre Pacífico S. Campos;5002-A;1;92.03;2002-10-11;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5823-A;3;92.01;2003-12-07;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5823-B;3;92.01;2004-01-07;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5630;3;92.01;2004-03-30;1;0
Escola municipal de T.I. Padre Josimo M. Tavares;5757;3;92.01;2003-09-28;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5520;3;92.01;2005-02-06;1;3
Escola Municipal Beatriz Rodrigues da Silva-2019;5573;3;92.01;2003-04-01;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5748;3;92.01;2004-03-15;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5769;3;92.01;2004-07-28;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5999;3;92.01;2003-03-11;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5910;3;92.01;2003-11-01;;3
Escola municipal de T.I. Padre Josimo M. Tavares;5634;3;92.01;2003-10-31;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5674;3;92.01;2003-06-15;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5892;3;92.01;2003-12-10;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5885;3;92.01;2004-01-24;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5881;3;92.01;2004-01-03;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5643;3;92.01;2003-08-22;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5797;3;92.01;2003-08-11;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5974;3;92.01;2004-01-26;0;2
Escola municipal de T.I. Padre Josimo M. Tavares;5986;3;92.01;2004-06-10;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5553;3;92.01;2004-07-25;0;0
Escola municipal de T.I. Padre Josimo M. Tavares;5650;3;92.01;2004-10-30;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5655;3;92.01;2004-03-02;1;0
Escola municipal de T.I. Padre Josimo M. Tavares;5944;3;92.01;2003-08-13;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5560;3;92.01;2002-10-17;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5939;3;92.01;2018-10-01;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5581;3;92.01;2003-08-26;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5966;3;92.01;2003-11-04;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5710;3;92.01;2018-12-09;0;2
Escola municipal de T.I. Padre Josimo M. Tavares;5738;3;92.01;2004-04-17;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5752;3;92.01;2004-08-11;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5815-A;3;92.01;2018-11-25;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5648;3;92.01;2003-10-17;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5941;3;92.01;2003-12-23;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5522;3;92.01;2018-11-30;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;NVC;3;92.01;2018-01-01;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5720;3;92.01;2004-05-13;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5638;3;92.02;2004-03-21;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5606;3;92.02;2003-10-23;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5514;3;92.02;2003-09-16;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5612;3;92.02;2018-01-01;3;3
Escola municipal de T.I. Padre Josimo M. Tavares;5923;3;92.02;2018-10-11;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5615;3;92.02;2003-09-23;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5524;3;92.02;2018-04-10;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5576;3;92.02;2004-07-16;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5764;3;92.02;2004-01-24;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5616;3;92.02;2004-06-13;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5981;3;92.02;2004-03-02;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5979;3;92.02;2003-10-20;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5689;3;92.02;2004-03-28;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5505;3;92.02;2004-04-02;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5708;3;92.02;2003-05-19;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5550;3;92.02;2018-11-08;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5808;3;92.02;2018-01-01;0;2
Escola municipal de T.I. Padre Josimo M. Tavares;5536;3;92.02;2004-02-16;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5698;3;92.02;2003-10-24;0;2
Escola municipal de T.I. Padre Josimo M. Tavares;5742;3;92.02;2003-10-16;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5677;3;92.02;2003-10-17;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5608;3;92.02;2003-11-28;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5724;3;92.02;2004-04-13;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5815-B;3;92.02;2004-02-09;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5816;3;92.02;2003-10-09;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5850;3;92.02;2004-03-30;1;0
Escola municipal de T.I. Padre Josimo M. Tavares;5781;3;92.02;2004-01-22;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5733;3;92.02;2003-05-21;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5747;3;92.02;2003-07-04;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5503;3;92.02;2003-10-21;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5507;3;92.02;2004-03-22;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5929;3;92.02;2003-07-25;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5976;3;92.02;2003-08-29;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5661A;3;92.02;2003-12-24;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5606-B;3;92.02;2003-02-17;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5696;3;92.02;2003-06-30;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5977;3;92.02;2018-01-01;1;
Escola municipal de T.I. Padre Josimo M. Tavares;5734;3;92.02;2018-11-12;1;
Escola municipal de T.I. Padre Josimo M. Tavares;5634-B;3;92.02;2018-11-10;0;
Escola municipal de T.I. Padre Josimo M. Tavares;5647;3;92.02;2018-11-01;0;
Escola municipal de T.I. Padre Josimo M. Tavares;5576A;3;92.03;2004-01-30;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5661;3;92.03;1986-05-07;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5567;3;92.03;2004-01-30;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5689-B;3;92.03;2003-05-13;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5961;3;92.03;2003-06-28;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5518;3;92.03;2003-07-06;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;6000;3;92.03;2003-08-21;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5580;3;92.03;2003-10-21;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5736;3;92.03;2004-03-02;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5548;3;92.03;2018-11-08;0;
Escola municipal de T.I. Padre Josimo M. Tavares;5577;3;92.03;2004-07-17;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5771;3;92.03;2004-01-06;1;0
Escola municipal de T.I. Padre Josimo M. Tavares;5687;3;92.03;2004-02-08;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5588;3;92.03;2004-03-20;2;3
Escola municipal de T.I. Padre Josimo M. Tavares;5702;3;92.03;2004-07-09;3;0
Escola municipal de T.I. Padre Josimo M. Tavares;5606-C;3;92.03;2004-02-06;0;0
Escola municipal de T.I. Padre Josimo M. Tavares;5959;3;92.03;2003-07-08;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5711;3;92.03;2003-07-20;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5941-B;3;92.03;2004-07-28;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5633;3;92.03;2004-02-21;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5849;3;92.03;2004-01-12;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5924;3;92.03;2004-05-24;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5772;3;92.03;2004-03-25;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5787;3;92.03;2004-10-07;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5889;3;92.03;2003-08-23;3;1
Escola municipal de T.I. Padre Josimo M. Tavares;5938;3;92.03;2003-09-28;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5801;3;92.03;2004-02-19;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5868;3;92.03;2003-11-12;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5987;3;92.03;2004-01-20;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5529;3;92.03;2004-03-21;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5553-B;3;92.03;2003-11-01;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5684;3;92.03;2004-03-29;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5615-B;3;92.03;2003-07-07;0;4
Escola municipal Anne Frank;6869;0;92.01;2004-01-13;1;1
Escola municipal Anne Frank;6746;0;92.01;2003-10-30;0;1
Escola municipal Anne Frank;6593;0;92.01;2018-12-19;1;1
Escola municipal Anne Frank;6713;0;92.01;2004-05-26;1;1
Escola municipal Anne Frank;6861;0;92.01;2003-07-20;0;1
Escola municipal Anne Frank;6774-B;0;92.01;2004-06-26;1;1
Escola municipal Anne Frank;6625;0;92.01;2004-01-12;0;1
Escola municipal Anne Frank;6903;0;92.01;2003-08-31;1;1
Escola municipal Anne Frank;6881;0;92.01;2005-01-24;1;1
Escola municipal Anne Frank;6819;0;92.01;2004-02-22;1;1
Escola municipal Anne Frank;6978;0;92.01;2003-10-20;0;3
Escola municipal Anne Frank;6678;0;92.01;2004-01-02;0;1
Escola municipal Anne Frank;6995;0;92.01;2004-02-22;0;3
Escola municipal Anne Frank;6757;0;92.01;2004-01-18;0;3
Escola municipal Anne Frank;6963;0;92.01;2004-02-13;1;3
Escola municipal Anne Frank;6987;1;92.01;2004-02-09;1;3
Escola municipal Anne Frank;6784;0;92.01;2003-11-10;0;1
Escola municipal Anne Frank;6751;0;92.01;2003-11-10;1;1
Escola municipal Anne Frank;6578;0;92.01;2018-11-14;1;1
Escola municipal Anne Frank;6531;0;92.01;2003-04-19;0;3
Escola municipal Anne Frank;6633;0;92.01;2003-11-17;1;1
Escola municipal Anne Frank;6545;0;92.01;2004-04-23;1;1
Escola municipal Anne Frank;6572;0;92.01;2004-06-08;1;4
Escola municipal Anne Frank;6784A;0;92.01;2004-11-10;0;1
Escola municipal Anne Frank;6606;0;92.01;2004-04-12;0;1
Escola municipal Anne Frank;6948;0;92.01;2003-11-12;1;1
Escola municipal Anne Frank;6780;0;92.01;2003-12-02;1;1
Escola municipal Anne Frank;6700A;0;92.01;2003-03-16;1;1
Escola municipal Anne Frank;6869A;0;92.01;2004-01-13;1;1
Escola municipal Anne Frank;6653;0;92.01;2018-11-14;0;4
Escola municipal Anne Frank;6659;0;92.01;2003-06-25;1;1
Escola municipal Anne Frank;6925;0;92.01;2003-08-07;1;1
Escola municipal Anne Frank;6904;0;92.01;2004-01-26;0;1
Escola municipal Anne Frank;6878A;0;92.01;2003-09-04;1;1
Escola municipal Anne Frank;6929;0;92.01;2003-05-26;0;4
Escola municipal Anne Frank;6819A;0;92.01;2004-02-22;1;1
Escola municipal Anne Frank;6717;0;92.01;2004-01-02;0;1
Escola municipal Anne Frank;6775;0;92.01;2018-11-14;0;1
Escola municipal Anne Frank;6989;0;92.01;2004-06-15;0;1
Escola municipal Anne Frank;6523;0;92.01;2003-08-20;0;1
Escola municipal Henrique Talone Pinheiro;1681;0;92.01;2004-06-20;1;0
Escola municipal Henrique Talone Pinheiro;1236;0;92.01;2004-05-01;0;3
Escola municipal Henrique Talone Pinheiro;1668;0;92.01;2003-12-04;1;3
Escola municipal Henrique Talone Pinheiro;1824;0;92.01;2004-03-01;0;3
Escola municipal Henrique Talone Pinheiro;1847;0;92.01;2004-02-02;0;3
Escola municipal Henrique Talone Pinheiro;1373;0;92.01;2003-04-01;0;3
Escola municipal Henrique Talone Pinheiro;1634;0;92.01;2004-03-02;0;3
Escola municipal Henrique Talone Pinheiro;1123;0;92.01;2004-04-01;0;3
Escola municipal Henrique Talone Pinheiro;1677;0;92.01;2001-05-17;1;3
Escola municipal Henrique Talone Pinheiro;1496;0;92.01;2003-06-23;0;4
Escola municipal Henrique Talone Pinheiro;1492;0;92.01;2014-10-03;0;3
Escola municipal Anne Frank;6740;1;92.03;2003-01-16;0;1
Escola municipal Anne Frank;6643;1;92.03;2003-06-09;2;4
Escola municipal Anne Frank;6686;1;92.03;2004-08-13;1;3
Escola municipal Anne Frank;6699;1;92.03;2003-10-21;1;3
Escola municipal Anne Frank;6945;1;92.03;2004-03-05;1;3
Escola municipal Anne Frank;6674;1;92.03;2003-07-31;0;1
Escola municipal Anne Frank;6615;1;92.03;2003-06-29;1;3
Escola municipal Anne Frank;6584;1;92.03;2004-11-29;0;4
Escola municipal Anne Frank;6865;1;92.03;2003-12-04;1;1
Escola municipal Anne Frank;6952;1;92.03;2004-04-04;0;1
Escola municipal Anne Frank;6965;1;92.03;2018-11-23;0;1
Escola municipal Anne Frank;6774A;1;92.03;2003-06-02;0;3
Escola municipal Anne Frank;6831;1;92.03;2004-04-21;0;3
Escola municipal Anne Frank;6629;1;92.03;2003-12-09;0;3
Escola municipal Anne Frank;6724;1;92.03;2003-07-18;1;1
Escola municipal Anne Frank;6986;1;92.03;2005-12-15;1;1
Escola municipal Anne Frank;6792;1;92.03;2004-07-28;1;3
Escola municipal Anne Frank;6669;1;92.03;2004-08-26;1;3
Escola municipal Anne Frank;6692;1;92.03;2004-02-15;1;3
Escola municipal Anne Frank;6725;1;92.03;2018-09-30;1;1
Escola municipal Anne Frank;6734;1;92.03;2004-03-11;1;3
Escola municipal Anne Frank;6668;1;92.03;2004-01-19;0;3
Escola municipal Anne Frank;6944;1;92.03;2004-04-08;0;1
Escola municipal Anne Frank;6515;1;92.03;2003-10-05;0;3
Escola municipal Anne Frank;6841;1;92.03;2003-08-13;0;3
Escola municipal Anne Frank;6615B;1;92.03;2003-10-24;1;4
Escola municipal Anne Frank;6964;1;92.03;2003-09-11;0;1
Escola municipal Anne Frank;6585;1;92.03;2004-04-14;0;0
Escola municipal Anne Frank;6889;1;92.03;2003-08-21;1;3
Escola municipal Anne Frank;6989-B;1;92.03;2004-08-25;1;4
Escola municipal Anne Frank;6631;1;92.03;2004-02-28;0;4
Escola municipal Anne Frank;6644;1;92.03;2004-06-03;0;3
Escola municipal Anne Frank;6665;1;92.02;2004-01-17;1;1
Escola municipal Anne Frank;6768-C;1;92.02;2004-01-03;0;3
Escola municipal Anne Frank;6771-B;1;92.02;2003-11-18;0;3
Escola municipal Anne Frank;6804;1;92.02;2004-02-04;1;1
Escola municipal Anne Frank;6806;1;92.02;2018-11-19;1;3
Escola municipal Anne Frank;6768;1;92.02;2003-06-25;1;3
Escola municipal Anne Frank;6825;1;92.02;2004-06-25;0;3
Escola municipal Anne Frank;6694;1;92.02;2003-11-11;1;1
Escola municipal Anne Frank;6844;1;92.02;2004-04-16;0;0
Escola municipal Anne Frank;6769;1;92.02;2002-08-03;0;3
Escola municipal Anne Frank;6512;1;92.02;2004-10-01;1;1
Escola municipal Anne Frank;6677;1;92.02;2003-07-21;1;4
Escola municipal Anne Frank;6917-C;1;92.02;2003-09-03;1;1
Escola municipal Anne Frank;6582;1;92.02;2005-05-28;0;3
Escola municipal Anne Frank;6917;1;92.02;2004-03-08;0;
Escola municipal Anne Frank;6917B;1;92.02;2004-09-13;1;1
